"","observed","mean.simulated","lowCI","uppCI","sign"
"K19312",33.6803809895065,34.5312853524725,28.5910126570232,39.8781864267649,"NON SIGNIFICANT"
"K19329",3.07272727272727,14.2663596723551,9.65714285714286,18.7777777777778,"SPECIALIST"
"K19333",11.2970980565747,32.5923916915215,26.1993548735507,38.6832546674208,"SPECIALIST"
"K19336",10.3714285714286,20.8805112542065,15.3380281690141,25.9285714285714,"SPECIALIST"
"K19337",8.78832323350606,30.8600716785511,24.5507418680435,36.7579492677517,"SPECIALIST"
"K19338",41.2346672961814,35.5421481986163,29.5189504971036,40.642610532644,"GENERALIST"
"K19339",39.7441162524399,36.1038002092201,30.1865852748073,40.9730352402858,"NON SIGNIFICANT"
"K19340",39.6537132750639,34.5880825751294,28.5445129563552,39.7002624874702,"NON SIGNIFICANT"
"K19341",35.3972600393503,34.7252595470646,28.8503911114315,40.1451038345808,"NON SIGNIFICANT"
"K19342",38.3516302340818,34.98155583059,28.9722721501071,40.1960524649784,"NON SIGNIFICANT"
"K19344",22.7464986486012,30.7519234332072,23.8389537355076,36.6644046647655,"SPECIALIST"
"K19345",31.8658025944618,34.1508188068306,27.9851845090694,39.6497095928849,"NON SIGNIFICANT"
"K19350",15.5616797900262,21.913567217118,16.0677506775068,27.3225806451613,"SPECIALIST"
"K19353",14.6153750155996,31.7491167677061,25.4711714801788,37.3585467940779,"SPECIALIST"
"K19354",30.5503045793397,32.8531172386743,26.4291112248125,38.5657770564359,"NON SIGNIFICANT"
"K19355",40.9123746132621,35.7202276601727,29.8777450021755,40.4804910624829,"GENERALIST"
"K19360",25.051602814699,30.2922441655765,24.2115802399169,36.1891853734293,"NON SIGNIFICANT"
"K19363",1,7.27378926331442,4.76470588235294,9,"SPECIALIST"
"K19370",13,14.3468856164234,9.94117647058823,18.7777777777778,"NON SIGNIFICANT"
"K19373",3.41777159182477,29.0924795967259,22.5282472235635,34.7676430191438,"SPECIALIST"
"K19375",7.41025641025641,11.2484279452442,7.41025641025641,15.2105263157895,"NON SIGNIFICANT"
"K19386",1,1.969,1,2,"NON SIGNIFICANT"
"K19405",42.2537128101727,37.3254185408928,32.0042191113638,41.8484460994958,"GENERALIST"
"K19411",36.6331126779874,34.8161149524613,28.6346283004262,39.9343780281541,"NON SIGNIFICANT"
"K19413",22.1447662342752,32.834726196518,26.3412776976988,38.6212507471902,"SPECIALIST"
"K19416",41.384747156223,34.5732605352502,28.6948725472192,39.9672627400794,"GENERALIST"
"K19420",14.3124075248362,28.7608741798637,22.7061476696751,34.3724468655854,"SPECIALIST"
"K19421",31.281513957738,34.3261977634337,27.9104050613651,39.5009356275738,"NON SIGNIFICANT"
"K19422",24.6358430176538,33.9348568510541,27.4908502982227,39.3019535367232,"SPECIALIST"
"K19423",10.7599115463592,27.4409410846192,20.4745881991154,33.5084491052726,"SPECIALIST"
"K19424",40.1806833354983,37.2580098425959,31.5112182486027,41.725369771536,"NON SIGNIFICANT"
"K19425",27.7878578343244,31.1212497469818,24.9469321219051,36.7122326414106,"NON SIGNIFICANT"
"K19427",23.9057440300811,31.0205593240228,24.6219778269476,36.9501866192362,"SPECIALIST"
"K19428",33.356299704133,34.0293888575695,28.129674428341,39.491532052695,"NON SIGNIFICANT"
"K19429",28.7938756855576,31.0669900288341,24.510864352283,36.9241366268416,"NON SIGNIFICANT"
"K19430",28.6685708059843,33.6806134347932,27.7078744670014,39.4455206868182,"NON SIGNIFICANT"
"K19431",30.9679361332376,33.6914288968307,27.4842855062124,39.194311147711,"NON SIGNIFICANT"
"K19449",12.1924851680949,27.6784282935576,21.4064798767572,33.6313900720974,"SPECIALIST"
"K19465",1.29390681003584,19.9929047162475,14.3096502702807,25.5826771653543,"SPECIALIST"
"K19477",31.4869858917999,32.5372740320714,26.2601640738778,37.8538123541129,"NON SIGNIFICANT"
"K19505",1,10.5581025498042,7.25806451612903,13.2352941176471,"SPECIALIST"
"K19507",36.3178771305651,33.2099729096075,26.9643793510673,38.994013874023,"NON SIGNIFICANT"
"K19510",8.07988274093074,26.8490598545303,20.0970872884547,32.766185839591,"SPECIALIST"
"K19511",34.8581410764934,33.8840367605428,27.7250442641777,39.4265325456178,"NON SIGNIFICANT"
"K19517",21.4328912466843,26.4695126933374,20.3932179127403,32.0948840292341,"NON SIGNIFICANT"
"K19519",38.3158315213579,35.429683942909,29.3515886167745,40.893744194355,"NON SIGNIFICANT"
"K19525",13.2978723404255,14.1788809518273,9.92063492063492,18.9393939393939,"NON SIGNIFICANT"
"K19538",4.34996331621423,21.9270092851649,16.0677506775068,27.3225806451613,"SPECIALIST"
"K19540",9.57157683525912,31.1607561393561,24.7600346470347,36.7873128297486,"SPECIALIST"
"K19545",35.6097913124459,34.7100791011849,28.5256050621197,40.0869524485422,"NON SIGNIFICANT"
"K19547",35.9800140906062,34.0935080638931,28.0483539715989,39.4315564487644,"NON SIGNIFICANT"
"K19548",40.9433763590355,35.7070109311144,29.9341430739498,40.6176551424891,"GENERALIST"
"K19550",14.9359167972646,31.815438074753,25.5276492246553,37.6916600708707,"SPECIALIST"
"K19551",19.454220891397,30.6261885805799,23.9785375566024,36.3297410953758,"SPECIALIST"
"K19552",19.7813659770381,31.9302808007127,25.004312500059,37.6624124672519,"SPECIALIST"
"K19561",11.4595734975482,28.2837911487574,22.236507693436,34.0070055746458,"SPECIALIST"
"K19563",26.8980688497061,29.7749018470243,23.6940954152937,35.4532979194334,"NON SIGNIFICANT"
"K19564",13.1154960673382,29.2262255437899,23.2384104295596,35.0733864023026,"SPECIALIST"
"K19572",15.3357381232823,31.1647164699339,25.3134318687127,37.1363463300845,"SPECIALIST"
