,observed,mean.simulated,lowCI,uppCI,sign
K13832,13.91372067,22.56207834,18.39667715,25.81660137,SPECIALIST
K13866,10.8004235,17.80358476,13.0861748,21.93881639,SPECIALIST
K13868,12.5468908,20.38109023,15.28658655,24.58489548,SPECIALIST
K13869,11.00833699,17.9512845,13.06514256,22.4405738,SPECIALIST
K13886,13.81621793,19.1291386,14.4991049,23.20466288,SPECIALIST
K13908,4.083333333,11.62747428,7.84,15.68,SPECIALIST
K13912,9.857091642,19.11000377,14.16195024,23.44750027,SPECIALIST
K13921,5.577606265,19.34418298,14.66673308,23.76492119,SPECIALIST
K13925,3.816590451,18.76270561,13.96233221,23.17803188,SPECIALIST
K13928,9.858376156,17.84219824,13.32472718,22.11305454,SPECIALIST
K13935,11.58224943,17.41558735,12.42806206,21.81425618,SPECIALIST
K13936,1.128460844,17.77209712,13.05390596,22.27148543,SPECIALIST
K13937,6.992491083,18.97875236,13.90828951,23.30247107,SPECIALIST
K13940,6.585034014,13.69113939,9.30547619,17.92592593,SPECIALIST
K13941,10.84167957,18.22802888,12.7919514,22.39717129,SPECIALIST
K13948,2.904239624,18.43670576,13.62266174,22.82485848,SPECIALIST
K13951,6.220880595,19.07029169,14.10517263,23.55900029,SPECIALIST
K13958,4.74817898,16.60838278,12.4106981,20.7723824,SPECIALIST
K13981,5.530973451,11.24490143,7.352941176,15.24390244,SPECIALIST
K13983,7.708008214,16.95551035,12.46985831,21.01791713,SPECIALIST
K13990,10.79821081,21.47314512,16.97020683,25.4113559,SPECIALIST
K13991,12.82669166,21.5036904,16.83963639,25.24786061,SPECIALIST
K13998,9.959734723,17.11821149,12.01944642,21.74250259,SPECIALIST
K14002,3.544202067,18.35227699,13.86014268,22.75979584,SPECIALIST
